Turn,Speaker,Cue,Response,Reference Response,Context,Overall Human Rating,Interesting,Engaging,Specific,Relevant,Correct,Semantically Appropriate,Understandable,Fluent
0,SPEAKER,,,,,,,,,,,,,
1,SPEAKER,,hi,, ,,,,,,,,,
2,LEOLANI,hi,Yo Do you want to talk to me?,,  hi,,,,,,,,,
3,SPEAKER,Yo Do you want to talk to me?,yes,,  hi Yo Do you want to talk to me?,,,,,,,,,
4,LEOLANI,yes,"Hi, nice to meet you! What is your name?",,  hi Yo Do you want to talk to me? yes,,,,,,,,,
5,SPEAKER,"Hi, nice to meet you! What is your name?",Piek,,"  hi Yo Do you want to talk to me? yes Hi, nice to meet you! What is your name?",,,,,,,,,
6,LEOLANI,Piek,So your name is Piek?,,"  hi Yo Do you want to talk to me? yes Hi, nice to meet you! What is your name? Piek",,,,,,,,,
7,SPEAKER,So your name is Piek?,yes,,"  hi Yo Do you want to talk to me? yes Hi, nice to meet you! What is your name? Piek So your name is Piek?",,,,,,,,,
8,LEOLANI,yes,"Nice to meet you, Piek!",,"  hi Yo Do you want to talk to me? yes Hi, nice to meet you! What is your name? Piek So your name is Piek? yes",,,,,,,,,
9,LEOLANI,"Nice to meet you, Piek!",If you don't mind me asking. Has a person ever be wife of piek?,,"  hi Yo Do you want to talk to me? yes Hi, nice to meet you! What is your name? Piek So your name is Piek? yes Nice to meet you, Piek!",,,,,,,,,
10,SPEAKER,If you don't mind me asking. Has a person ever be wife of piek?,Anja is my wife,,"  hi Yo Do you want to talk to me? yes Hi, nice to meet you! What is your name? Piek So your name is Piek? yes Nice to meet you, Piek! If you don't mind me asking. Has a person ever be wife of piek?",,,,,,,,,
11,LEOLANI,Anja is my wife,Interesting! I had never heard about anja before!,," want to talk to me? yes Hi, nice to meet you! What is your name? Piek So your name is Piek? yes Nice to meet you, Piek! If you don't mind me asking. Has a person ever be wife of piek? Anja is my wife",,,,,,,,,
12,LEOLANI,Interesting! I had never heard about anja before!,I did not know that! I had never heard about piek before!,,"t is your name? Piek So your name is Piek? yes Nice to meet you, Piek! If you don't mind me asking. Has a person ever be wife of piek? Anja is my wife Interesting! I had never heard about anja before!",,,,,,,,,
13,LEOLANI,I did not know that! I had never heard about piek before!,Let me ask you something. Has piek be brother of by a agent?,,"t you, Piek! If you don't mind me asking. Has a person ever be wife of piek? Anja is my wife Interesting! I had never heard about anja before! I did not know that! I had never heard about piek before!",,,,,,,,,
14,SPEAKER,Let me ask you something. Has piek be brother of by a agent?,Marc is my brother,,e wife of piek? Anja is my wife Interesting! I had never heard about anja before! I did not know that! I had never heard about piek before! Let me ask you something. Has piek be brother of by a agent?,,,,,,,,,
15,LEOLANI,Marc is my brother,If you don't mind me asking.,,a is my wife Interesting! I had never heard about anja before! I did not know that! I had never heard about piek before! Let me ask you something. Has piek be brother of by a agent? Marc is my brother,,,,,,,,,
16,LEOLANI,If you don't mind me asking.,I am glad to have learned something new. I had never heard about piek before!,,ad never heard about anja before! I did not know that! I had never heard about piek before! Let me ask you something. Has piek be brother of by a agent? Marc is my brother If you don't mind me asking.,,,,,,,,,
17,LEOLANI,I am glad to have learned something new. I had never heard about piek before!,I do not know what to say.,, piek before! Let me ask you something. Has piek be brother of by a agent? Marc is my brother If you don't mind me asking. I am glad to have learned something new. I had never heard about piek before!,,,,,,,,,
18,SPEAKER,I do not know what to say.,Paul is my brother,,u something. Has piek be brother of by a agent? Marc is my brother If you don't mind me asking. I am glad to have learned something new. I had never heard about piek before! I do not know what to say.,,,,,,,,,
19,LEOLANI,Paul is my brother,I would like to know. Has piek be member of by a institution?,,ek be brother of by a agent? Marc is my brother If you don't mind me asking. I am glad to have learned something new. I had never heard about piek before! I do not know what to say. Paul is my brother,,,,,,,,,
20,LEOLANI,I would like to know. Has piek be member of by a institution?,Let me ask you something. Has piek be daughter of by a agent?,,ind me asking. I am glad to have learned something new. I had never heard about piek before! I do not know what to say. Paul is my brother I would like to know. Has piek be member of by a institution?,,,,,,,,,
21,SPEAKER,Let me ask you something. Has piek be daughter of by a agent?,Niqee is my duaghter,,never heard about piek before! I do not know what to say. Paul is my brother I would like to know. Has piek be member of by a institution? Let me ask you something. Has piek be daughter of by a agent?,,,,,,,,,
22,LEOLANI,Niqee is my duaghter,"I just learned something, I had never heard about niqee before!",,k before! I do not know what to say. Paul is my brother I would like to know. Has piek be member of by a institution? Let me ask you something. Has piek be daughter of by a agent? Niqee is my duaghter,,,,,,,,,
23,LEOLANI,"I just learned something, I had never heard about niqee before!",Exciting news! I had never heard about piek before!,,"like to know. Has piek be member of by a institution? Let me ask you something. Has piek be daughter of by a agent? Niqee is my duaghter I just learned something, I had never heard about niqee before!",,,,,,,,,
24,LEOLANI,Exciting news! I had never heard about piek before!,I am glad to have learned something new. I had never heard about niqee before!,,"? Let me ask you something. Has piek be daughter of by a agent? Niqee is my duaghter I just learned something, I had never heard about niqee before! Exciting news! I had never heard about piek before!",,,,,,,,,
25,SPEAKER,I am glad to have learned something new. I had never heard about niqee before!,Niqee is my daughter,,"ghter I just learned something, I had never heard about niqee before! Exciting news! I had never heard about piek before! I am glad to have learned something new. I had never heard about niqee before!",,,,,,,,,
26,LEOLANI,Niqee is my daughter,I am curious. Has a agent ever be son of niqee?,,"something, I had never heard about niqee before! Exciting news! I had never heard about piek before! I am glad to have learned something new. I had never heard about niqee before! Niqee is my daughter",,,,,,,,,
27,LEOLANI,I am curious. Has a agent ever be son of niqee?,I am curious. Has a agent ever be sister of piek?,, Exciting news! I had never heard about piek before! I am glad to have learned something new. I had never heard about niqee before! Niqee is my daughter I am curious. Has a agent ever be son of niqee?,,,,,,,,,
