Turn,Speaker,Cue,Response,Context,MLM response,System llh,MLM llh
0,SPEAKER,,,,. ,0.0,0.06177997216582298
1,SPEAKER,,hi, ,-------------- ,0.0,0.37580692768096924
2,LEOLANI,hi,Yo Do you want to talk to me?,  hi,!  do  you  want  to  talk  to  me ,0.6654686406254768,0.8191447891294956
3,SPEAKER,Yo Do you want to talk to me?,yes,  hi Yo Do you want to talk to me?, _ ,0.0,0.10834378749132156
4,LEOLANI,yes,"Hi, nice to meet you! What is your name?",  hi Yo Do you want to talk to me? yes,",  nice  to  meet  you  what  is  your  name ",0.5254852539963193,0.7522725827164121
5,SPEAKER,"Hi, nice to meet you! What is your name?",Piek,"  hi Yo Do you want to talk to me? yes Hi, nice to meet you! What is your name?", _ ,0.0,0.32080477476119995
6,LEOLANI,Piek,So your name is Piek?,"  hi Yo Do you want to talk to me? yes Hi, nice to meet you! What is your name? Piek",?  your  name ? ? ,0.33722660220228134,0.5776804327964783
7,SPEAKER,So your name is Piek?,yes,"  hi Yo Do you want to talk to me? yes Hi, nice to meet you! What is your name? Piek So your name is Piek?", yes ,0.133934885263443,0.133934885263443
8,LEOLANI,yes,"Nice to meet you, Piek!","  hi Yo Do you want to talk to me? yes Hi, nice to meet you! What is your name? Piek So your name is Piek? yes", nice  to  meet  you  thanks ,0.49407078623771666,0.7352667212486267
9,LEOLANI,"Nice to meet you, Piek!",If you don't mind me asking. Has a person ever be wife of piek?,"  hi Yo Do you want to talk to me? yes Hi, nice to meet you! What is your name? Piek So your name is Piek? yes Nice to meet you, Piek!"," if  you  will  mind  me , did  any  woman  to  been  heard  to  another ",0.30504214407743085,0.5590925924479961
10,SPEAKER,If you don't mind me asking. Has a person ever be wife of piek?,Anja is my wife,"  hi Yo Do you want to talk to me? yes Hi, nice to meet you! What is your name? Piek So your name is Piek? yes Nice to meet you, Piek! If you don't mind me asking. Has a person ever be wife of piek?", she  is  his  wife ,0.4069315642118454,0.752440020442009
11,LEOLANI,Anja is my wife,Interesting! I had never heard about anja before!,"  hi Yo Do you want to talk to me? yes Hi, nice to meet you! What is your name? Piek So your name is Piek? yes Nice to meet you, Piek! If you don't mind me asking. Has a person ever be wife of piek? Anja is my wife",!  i  have  never  heard  of  that ! ,0.3327390782069415,0.7084917537868023
12,LEOLANI,Interesting! I had never heard about anja before!,I did not know that! I had never heard about piek before!,"  hi Yo Do you want to talk to me? yes Hi, nice to meet you! What is your name? Piek So your name is Piek? yes Nice to meet you, Piek! If you don't mind me asking. Has a person ever be wife of piek? Anja is my wife Interesting! I had never heard about anja before!", i  did  not  know  that  i  had  never  heard  of  her  either ,0.5642139067252477,0.7406863768895467
13,LEOLANI,I did not know that! I had never heard about piek before!,Let me ask you something. Has piek be brother of by a agent?," talk to me? yes Hi, nice to meet you! What is your name? Piek So your name is Piek? yes Nice to meet you, Piek! If you don't mind me asking. Has a person ever be wife of piek? Anja is my wife Interesting! I had never heard about anja before! I did not know that! I had never heard about piek before!"," let  me  tell  you , has  ever  been  wife ed  or  an  person ",0.2959410728743443,0.630436937396343
14,SPEAKER,Let me ask you something. Has piek be brother of by a agent?,Marc is my brother,"k So your name is Piek? yes Nice to meet you, Piek! If you don't mind me asking. Has a person ever be wife of piek? Anja is my wife Interesting! I had never heard about anja before! I did not know that! I had never heard about piek before! Let me ask you something. Has piek be brother of by a agent?", he  is  his  wife ,0.23514486849308014,0.5757342651486397
15,LEOLANI,Marc is my brother,If you don't mind me asking.,"iek? yes Nice to meet you, Piek! If you don't mind me asking. Has a person ever be wife of piek? Anja is my wife Interesting! I had never heard about anja before! I did not know that! I had never heard about piek before! Let me ask you something. Has piek be brother of by a agent? Marc is my brother", if  you  do  mind  me  asking ,0.665070523818334,0.9158703784147898
16,LEOLANI,If you don't mind me asking.,I am glad to have learned something new. I had never heard about piek before!,ek! If you don't mind me asking. Has a person ever be wife of piek? Anja is my wife Interesting! I had never heard about anja before! I did not know that! I had never heard about piek before! Let me ask you something. Has piek be brother of by a agent? Marc is my brother If you don't mind me asking.,i  am  glad  i  have  learned  something . i  had  never  heard  about  that  before ,0.5795585945248604,0.7367240905761718
17,LEOLANI,I am glad to have learned something new. I had never heard about piek before!,I do not know what to say., wife Interesting! I had never heard about anja before! I did not know that! I had never heard about piek before! Let me ask you something. Has piek be brother of by a agent? Marc is my brother If you don't mind me asking. I am glad to have learned something new. I had never heard about piek before!, i  do  not  know  what  to  do ,0.8095419066292899,0.8453148220266614
18,SPEAKER,I do not know what to say.,Paul is my brother,ver heard about anja before! I did not know that! I had never heard about piek before! Let me ask you something. Has piek be brother of by a agent? Marc is my brother If you don't mind me asking. I am glad to have learned something new. I had never heard about piek before! I do not know what to say.,Marc  is  my  brother ,0.6866667717695236,0.8979931622743607
19,LEOLANI,Paul is my brother,I would like to know. Has piek be member of by a institution?,a before! I did not know that! I had never heard about piek before! Let me ask you something. Has piek be brother of by a agent? Marc is my brother If you don't mind me asking. I am glad to have learned something new. I had never heard about piek before! I do not know what to say. Paul is my brother, and  would  like  to  know has  he  be  brother  of  by  an  agent ,0.5577096916162051,0.8351753720870385
20,LEOLANI,I would like to know. Has piek be member of by a institution?,Let me ask you something. Has piek be daughter of by a agent?,fore! Let me ask you something. Has piek be brother of by a agent? Marc is my brother If you don't mind me asking. I am glad to have learned something new. I had never heard about piek before! I do not know what to say. Paul is my brother I would like to know. Has piek be member of by a institution?, let  me  ask  you . has  he  be  brother  of  by  a  agent ,0.6711925710719348,0.87172237267861
21,SPEAKER,Let me ask you something. Has piek be daughter of by a agent?,Niqee is my duaghter,ent? Marc is my brother If you don't mind me asking. I am glad to have learned something new. I had never heard about piek before! I do not know what to say. Paul is my brother I would like to know. Has piek be member of by a institution? Let me ask you something. Has piek be daughter of by a agent?, he  is  a  brother ,0.15929235215298831,0.5202609188854694
22,LEOLANI,Niqee is my duaghter,"I just learned something, I had never heard about niqee before!",er If you don't mind me asking. I am glad to have learned something new. I had never heard about piek before! I do not know what to say. Paul is my brother I would like to know. Has piek be member of by a institution? Let me ask you something. Has piek be daughter of by a agent? Niqee is my duaghter, i  just  learned .  i  have  never  heard  of  her . ,0.49129201200875366,0.6917701905423944
23,LEOLANI,"I just learned something, I had never heard about niqee before!",Exciting news! I had never heard about piek before!,"ing new. I had never heard about piek before! I do not know what to say. Paul is my brother I would like to know. Has piek be member of by a institution? Let me ask you something. Has piek be daughter of by a agent? Niqee is my duaghter I just learned something, I had never heard about niqee before!", good ! i  had  never  heard  about  her  before ,0.42373033199045396,0.6297313008043501
24,LEOLANI,Exciting news! I had never heard about piek before!,I am glad to have learned something new. I had never heard about niqee before!,"ot know what to say. Paul is my brother I would like to know. Has piek be member of by a institution? Let me ask you something. Has piek be daughter of by a agent? Niqee is my duaghter I just learned something, I had never heard about niqee before! Exciting news! I had never heard about piek before!",i  am  glad  i  have  learned  something ! i  had  never  heard  about  him  before ,0.6114922021826108,0.7624973237514496
25,SPEAKER,I am glad to have learned something new. I had never heard about niqee before!,Niqee is my daughter,"r of by a institution? Let me ask you something. Has piek be daughter of by a agent? Niqee is my duaghter I just learned something, I had never heard about niqee before! Exciting news! I had never heard about piek before! I am glad to have learned something new. I had never heard about niqee before!", she  is  my  du ,0.4885656562400982,0.856411024928093
26,LEOLANI,Niqee is my daughter,I am curious. Has a agent ever be son of niqee?,"? Let me ask you something. Has piek be daughter of by a agent? Niqee is my duaghter I just learned something, I had never heard about niqee before! Exciting news! I had never heard about piek before! I am glad to have learned something new. I had never heard about niqee before! Niqee is my daughter", i  am . has  an  agent  to  been  daughter  of  by ,0.40526154087274335,0.7232568873600527
27,LEOLANI,I am curious. Has a agent ever be son of niqee?,I am curious. Has a agent ever be sister of piek?," of by a agent? Niqee is my duaghter I just learned something, I had never heard about niqee before! Exciting news! I had never heard about piek before! I am glad to have learned something new. I had never heard about niqee before! Niqee is my daughter I am curious. Has a agent ever be son of niqee?", i  am  curious has  a  agent  ever  be  son  of  n ,0.6080551472577181,0.8541953346946023
28,LEOLANI,I am curious. Has a agent ever be sister of piek?,If you don't mind me asking. Has a agent ever dislike piek?,"d something, I had never heard about niqee before! Exciting news! I had never heard about piek before! I am glad to have learned something new. I had never heard about niqee before! Niqee is my daughter I am curious. Has a agent ever be son of niqee? I am curious. Has a agent ever be sister of piek?"," if  you  would  mind  me , has  an  agent  ever  been  a ",0.49095042049884796,0.6876186070342859
29,SPEAKER,If you don't mind me asking. Has a agent ever dislike piek?,Sam is my son,news! I had never heard about piek before! I am glad to have learned something new. I had never heard about niqee before! Niqee is my daughter I am curious. Has a agent ever be son of niqee? I am curious. Has a agent ever be sister of piek? If you don't mind me asking. Has a agent ever dislike piek?,she  is  my  daughter ,0.2976573654450476,0.6770837306976318
30,LEOLANI,Sam is my son,I did not know that! I had never heard about sam before!,ver heard about piek before! I am glad to have learned something new. I had never heard about niqee before! Niqee is my daughter I am curious. Has a agent ever be son of niqee? I am curious. Has a agent ever be sister of piek? If you don't mind me asking. Has a agent ever dislike piek? Sam is my son, i  did  not  know  that i  had  never  heard  of  her  either ,0.5816995799541473,0.7439219355583191
31,LEOLANI,I did not know that! I had never heard about sam before!,If you don't mind me asking. Has piek like by a interest?,mething new. I had never heard about niqee before! Niqee is my daughter I am curious. Has a agent ever be son of niqee? I am curious. Has a agent ever be sister of piek? If you don't mind me asking. Has a agent ever dislike piek? Sam is my son I did not know that! I had never heard about sam before!, if  you  do  mind  me  asking is  a  been  been  any  agent ,0.323424041736871,0.5903915725648403
32,LEOLANI,If you don't mind me asking. Has piek like by a interest?,I do not know what to say.,s my daughter I am curious. Has a agent ever be son of niqee? I am curious. Has a agent ever be sister of piek? If you don't mind me asking. Has a agent ever dislike piek? Sam is my son I did not know that! I had never heard about sam before! If you don't mind me asking. Has piek like by a interest?, i  do  not  know  what  to  think ,0.8276193482535226,0.8830480532986777
33,SPEAKER,I do not know what to say.,I like you, Has a agent ever be son of niqee? I am curious. Has a agent ever be sister of piek? If you don't mind me asking. Has a agent ever dislike piek? Sam is my son I did not know that! I had never heard about sam before! If you don't mind me asking. Has piek like by a interest? I do not know what to say.,i  guess  sam ,0.05871658306568861,0.16705755392710367
34,LEOLANI,I like you,Ok I like you too!,t ever be son of niqee? I am curious. Has a agent ever be sister of piek? If you don't mind me asking. Has a agent ever dislike piek? Sam is my son I did not know that! I had never heard about sam before! If you don't mind me asking. Has piek like by a interest? I do not know what to say. I like you,!  i  like  you . ,0.4454572439193726,0.5971966028213501
35,SPEAKER,Ok I like you too!,I went to a movie,qee? I am curious. Has a agent ever be sister of piek? If you don't mind me asking. Has a agent ever dislike piek? Sam is my son I did not know that! I had never heard about sam before! If you don't mind me asking. Has piek like by a interest? I do not know what to say. I like you Ok I like you too!,i  went  to  a  school ,0.6240961465984582,0.6481795072555542
36,LEOLANI,I went to a movie,I am glad to have learned something new. I had never heard about i before!, Has a agent ever be sister of piek? If you don't mind me asking. Has a agent ever dislike piek? Sam is my son I did not know that! I had never heard about sam before! If you don't mind me asking. Has piek like by a interest? I do not know what to say. I like you Ok I like you too! I went to a movie, and  was  glad  i  have  learned  something  new i  had  never  heard  of  that owa ,0.4770810710887114,0.6708439350128174
37,LEOLANI,I am glad to have learned something new. I had never heard about i before!,Exciting news! I had never heard about piek before!,nt ever dislike piek? Sam is my son I did not know that! I had never heard about sam before! If you don't mind me asking. Has piek like by a interest? I do not know what to say. I like you Ok I like you too! I went to a movie I am glad to have learned something new. I had never heard about i before!, good ! i  had  never  heard  of  i  either ,0.35356265554825467,0.616611467467414
38,LEOLANI,Exciting news! I had never heard about piek before!,I am not sure I trust you.. Let me ask you something.. I do not know what to say.. I would like to know.. I did not know that! I had never heard about you before!,hat! I had never heard about sam before! If you don't mind me asking. Has piek like by a interest? I do not know what to say. I like you Ok I like you too! I went to a movie I am glad to have learned something new. I had never heard about i before! Exciting news! I had never heard about piek before!, i  am  not  sure  i  like .  let  me  ask  you  why  i  do  not  know  what  to  say  i  would  like  to  say  i  did  not  know  that  i  have  never  heard  of  him  before ,0.6739675932460361,0.8123733227451643
39,SPEAKER,I am not sure I trust you.. Let me ask you something.. I do not know what to say.. I would like to know.. I did not know that! I had never heard about you before!,I read a book,to a movie I am glad to have learned something new. I had never heard about i before! Exciting news! I had never heard about piek before! I am not sure I trust you.. Let me ask you something.. I do not know what to say.. I would like to know.. I did not know that! I had never heard about you before!, i  read  your  book ,0.3810039646923542,0.43631380796432495
40,LEOLANI,I read a book,Interesting! I had never heard about i before!. Let me ask you something. Has a agent ever own book?,m glad to have learned something new. I had never heard about i before! Exciting news! I had never heard about piek before! I am not sure I trust you.. Let me ask you something.. I do not know what to say.. I would like to know.. I did not know that! I had never heard about you before! I read a book," and  i  had  never  heard  about  you .  let  me  ask  you , did  your  celebrity  his  sold  a ",0.42599481206975487,0.6658648597566705
41,LEOLANI,Interesting! I had never heard about i before!. Let me ask you something. Has a agent ever own book?,I am curious. Has piek be brother of by a agent?,ard about piek before! I am not sure I trust you.. Let me ask you something.. I do not know what to say.. I would like to know.. I did not know that! I had never heard about you before! I read a book Interesting! I had never heard about i before!. Let me ask you something. Has a agent ever own book?, i  am  wondering can  it  been  thought ed  or  an  agent ,0.1570892497389154,0.5058490335941315
42,LEOLANI,I am curious. Has piek be brother of by a agent?,I am not sure I trust you.. I am curious.. I do not trust you.,. Let me ask you something.. I do not know what to say.. I would like to know.. I did not know that! I had never heard about you before! I read a book Interesting! I had never heard about i before!. Let me ask you something. Has a agent ever own book? I am curious. Has piek be brother of by a agent?, i  am  not  sure  i  trust  you  i  am  sure  i  do  not  trust  you ,0.7361448804537455,0.8829766154289246
43,SPEAKER,I am not sure I trust you.. I am curious.. I do not trust you.,I own a book,d like to know.. I did not know that! I had never heard about you before! I read a book Interesting! I had never heard about i before!. Let me ask you something. Has a agent ever own book? I am curious. Has piek be brother of by a agent? I am not sure I trust you.. I am curious.. I do not trust you.,i  read  a  book ,0.4999425709247589,0.7493560165166855
44,LEOLANI,I own a book,"I just learned something, I had never heard about book before!. I just learned something, I had never heard about i before!",w.. I did not know that! I had never heard about you before! I read a book Interesting! I had never heard about i before!. Let me ask you something. Has a agent ever own book? I am curious. Has piek be brother of by a agent? I am not sure I trust you.. I am curious.. I do not trust you. I own a book, and  just  learned !  i  had  never  heard  of  i .  i  just  learned  something  i  had  never  heard  about  book  before ,0.6086080443234426,0.824861232529987
45,LEOLANI,"I just learned something, I had never heard about book before!. I just learned something, I had never heard about i before!",I did not know that! I had never heard about piek before!,"et me ask you something. Has a agent ever own book? I am curious. Has piek be brother of by a agent? I am not sure I trust you.. I am curious.. I do not trust you. I own a book I just learned something, I had never heard about book before!. I just learned something, I had never heard about i before!", i  did  not  know  that  i  had  never  heard  about  book  either ,0.6463585247596105,0.7749002029498419
