Turn,Speaker,Cue,Response,Context,Overall Human Rating,Interesting,Engaging,Specific,Relevant,Correct,Semantically Appropriate,Understandable,Fluent
0,Leolani,,"Tell me something, anything!",,,,,,,,,,
1,BLENDERBOT,"Tell me something, anything!",Well," Tell me something, anything!",,,,,,,,,
2,Leolani,Well,Many of us feel that way . ," Tell me something, anything! Well",,,,,,,,,
3,BLENDERBOT,Many of us feel that way . ,Well I just got a promotion at work," Tell me something, anything! Well Many of us feel that way . ",,,,,,,,,
4,Leolani,Well I just got a promotion at work,If you don't mind me asking. Has blenderbot ever like a agent? . ," Tell me something, anything! Well Many of us feel that way .  Well I just got a promotion at work",,,,,,,,,
5,BLENDERBOT,If you don't mind me asking. Has blenderbot ever like a agent? . ,Well I just got a promotion at work so I 'm pretty stoked about that !," Tell me something, anything! Well Many of us feel that way .  Well I just got a promotion at work If you don't mind me asking. Has blenderbot ever like a agent? . ",,,,,,,,,
6,Leolani,Well I just got a promotion at work so I 'm pretty stoked about that !,... just like in my dream . ," Tell me something, anything! Well Many of us feel that way .  Well I just got a promotion at work If you don't mind me asking. Has blenderbot ever like a agent? .  Well I just got a promotion at work so I 'm pretty stoked about that !",,,,,,,,,
7,BLENDERBOT,... just like in my dream . ,What is your dream?," Tell me something, anything! Well Many of us feel that way .  Well I just got a promotion at work If you don't mind me asking. Has blenderbot ever like a agent? .  Well I just got a promotion at work so I 'm pretty stoked about that ! ... just like in my dream . ",,,,,,,,,
8,Leolani,What is your dream?,Now I have seen this too . ," Tell me something, anything! Well Many of us feel that way .  Well I just got a promotion at work If you don't mind me asking. Has blenderbot ever like a agent? .  Well I just got a promotion at work so I 'm pretty stoked about that ! ... just like in my dream .  What is your dream?",,,,,,,,,
9,BLENDERBOT,Now I have seen this too . ,I hope it 's something that you can live up to in the future.,"ething, anything! Well Many of us feel that way .  Well I just got a promotion at work If you don't mind me asking. Has blenderbot ever like a agent? .  Well I just got a promotion at work so I 'm pretty stoked about that ! ... just like in my dream .  What is your dream? Now I have seen this too . ",,,,,,,,,
