Turn,Speaker,Cue,Response,Context,MLM response,System llh,MLM llh
0,Leolani,,"Tell me something, anything!",, give  me  about  please ,0.26189825870096684,0.7965612858533859
1,BLENDERBOT,"Tell me something, anything!",Well," Tell me something, anything!",! ,0.0,0.3171127736568451
2,Leolani,Well,Many of us feel that way . ," Tell me something, anything! Well", all  of  us  feel  that  way .  lol ,0.5631585717201233,0.5967050492763519
3,BLENDERBOT,Many of us feel that way . ,Well I just got a promotion at work," Tell me something, anything! Well Many of us feel that way . ", well on  just  got  a  call  at  a ,0.548213142901659,0.6231445968151093
4,Leolani,Well I just got a promotion at work,If you don't mind me asking. Has blenderbot ever like a agent? . ," Tell me something, anything! Well Many of us feel that way .  Well I just got a promotion at work", if  you  would  mind  me ? did  anyone  been  been  an  promotion \  _ ,0.24161964229175023,0.5733864701219967
5,BLENDERBOT,If you don't mind me asking. Has blenderbot ever like a agent? . ,Well I just got a promotion at work so I 'm pretty stoked about that !," Tell me something, anything! Well Many of us feel that way .  Well I just got a promotion at work If you don't mind me asking. Has blenderbot ever like a agent? . ", well  i  just  got  a  promotion  at  work  and  i  am  pretty  excited  about  it . ,0.6868513422086835,0.775277853012085
6,Leolani,Well I just got a promotion at work so I 'm pretty stoked about that !,... just like in my dream . ," Tell me something, anything! Well Many of us feel that way .  Well I just got a promotion at work If you don't mind me asking. Has blenderbot ever like a agent? .  Well I just got a promotion at work so I 'm pretty stoked about that !",!  sounds  living  living  a  life !  _ ,0.09770205803215504,0.3300210516899824
7,BLENDERBOT,... just like in my dream . ,What is your dream?," Tell me something, anything! Well Many of us feel that way .  Well I just got a promotion at work If you don't mind me asking. Has blenderbot ever like a agent? .  Well I just got a promotion at work so I 'm pretty stoked about that ! ... just like in my dream . ", what  is  your  dream ,0.6624035537242889,0.8852627724409103
8,Leolani,What is your dream?,Now I have seen this too . ," Tell me something, anything! Well Many of us feel that way .  Well I just got a promotion at work If you don't mind me asking. Has blenderbot ever like a agent? .  Well I just got a promotion at work so I 'm pretty stoked about that ! ... just like in my dream .  What is your dream?",...  i  have  heard  agents  promotion !  _ ,0.28093320690095425,0.4061082284897566
9,BLENDERBOT,Now I have seen this too . ,I hope it 's something that you can live up to in the future.,"ething, anything! Well Many of us feel that way .  Well I just got a promotion at work If you don't mind me asking. Has blenderbot ever like a agent? .  Well I just got a promotion at work so I 'm pretty stoked about that ! ... just like in my dream .  What is your dream? Now I have seen this too . ", i  think  it  is  something  that  i  can  sign  up  to  in  the  future ,0.6352628563929882,0.8252685921532767
10,Leolani,I hope it 's something that you can live up to in the future.,That's just what he/she/they would've said . , got a promotion at work If you don't mind me asking. Has blenderbot ever like a agent? .  Well I just got a promotion at work so I 'm pretty stoked about that ! ... just like in my dream .  What is your dream? Now I have seen this too .  I hope it 's something that you can live up to in the future., not  probably  what  i  always  wanted .  _ ,0.19948721211403608,0.5429423451423645
11,BLENDERBOT,That's just what he/she/they would've said . ,That 's what I thought too,asking. Has blenderbot ever like a agent? .  Well I just got a promotion at work so I 'm pretty stoked about that ! ... just like in my dream .  What is your dream? Now I have seen this too .  I hope it 's something that you can live up to in the future. That's just what he/she/they would've said . , that  s  what  i  hope . ,0.5260076572497686,0.7038689603408178
12,Leolani,That 's what I thought too,So ... it   has come to this . , like a agent? .  Well I just got a promotion at work so I 'm pretty stoked about that ! ... just like in my dream .  What is your dream? Now I have seen this too .  I hope it 's something that you can live up to in the future. That's just what he/she/they would've said .  That 's what I thought too,.  but    really  sure  has  come  to  me !   ,0.17992484298619357,0.33492954007603903
13,BLENDERBOT,So ... it   has come to this . ,That 's what I thought too but I was wrong.,t a promotion at work so I 'm pretty stoked about that ! ... just like in my dream .  What is your dream? Now I have seen this too .  I hope it 's something that you can live up to in the future. That's just what he/she/they would've said .  That 's what I thought too So ... it   has come to this . , that  s  what  i  thought  too  but  i  was  wrong ,0.7021785497665405,0.8116589963436127
14,Leolani,That 's what I thought too but I was wrong.,There is no escape from destiny . ,about that ! ... just like in my dream .  What is your dream? Now I have seen this too .  I hope it 's something that you can live up to in the future. That's just what he/she/they would've said .  That 's what I thought too So ... it   has come to this .  That 's what I thought too but I was wrong., there  is  no  escape  from  this .   ,0.6215010769665241,0.6773967333137989
15,BLENDERBOT,There is no escape from destiny . ,I felt so bad about it.,eam .  What is your dream? Now I have seen this too .  I hope it 's something that you can live up to in the future. That's just what he/she/they would've said .  That 's what I thought too So ... it   has come to this .  That 's what I thought too but I was wrong. There is no escape from destiny . , i  feel  really  guilty  about  that ,0.36176952502379817,0.6044440492987633
16,Leolani,I felt so bad about it.,May I ask you why? . ,m? Now I have seen this too .  I hope it 's something that you can live up to in the future. That's just what he/she/they would've said .  That 's what I thought too So ... it   has come to this .  That 's what I thought too but I was wrong. There is no escape from destiny .  I felt so bad about it.,can  i  tell  you  this    _ ,0.3482129094856126,0.6239310694592339
17,BLENDERBOT,May I ask you why? . ,I do n't know,s too .  I hope it 's something that you can live up to in the future. That's just what he/she/they would've said .  That 's what I thought too So ... it   has come to this .  That 's what I thought too but I was wrong. There is no escape from destiny .  I felt so bad about it. May I ask you why? . , i  do  not  know ,0.5793942958116531,0.8260125368833542
18,Leolani,I do n't know,Good to know . ,e it 's something that you can live up to in the future. That's just what he/she/they would've said .  That 's what I thought too So ... it   has come to this .  That 's what I thought too but I was wrong. There is no escape from destiny .  I felt so bad about it. May I ask you why? .  I do n't know, how  i  say .  i ,0.18320034593343734,0.5709350496530533
19,BLENDERBOT,Good to know . ,I do n't know I guess I just feel like I 'm not good enough for them.,g that you can live up to in the future. That's just what he/she/they would've said .  That 's what I thought too So ... it   has come to this .  That 's what I thought too but I was wrong. There is no escape from destiny .  I felt so bad about it. May I ask you why? .  I do n't know Good to know . , i  do  not  know  i  guess  i  just  feel  like  i  am  not  good  enough  for  the ,0.7092512009994072,0.816224126254811
20,Leolani,I do n't know I guess I just feel like I 'm not good enough for them.,Interesting . ,would've said .  That 's what I thought too So ... it   has come to this .  That 's what I thought too but I was wrong. There is no escape from destiny .  I felt so bad about it. May I ask you why? .  I do n't know Good to know .  I do n't know I guess I just feel like I 'm not good enough for them.,lol .  _ ,0.22307497511307398,0.2935682261983554
21,BLENDERBOT,Interesting . ,I know,  That 's what I thought too So ... it   has come to this .  That 's what I thought too but I was wrong. There is no escape from destiny .  I felt so bad about it. May I ask you why? .  I do n't know Good to know .  I do n't know I guess I just feel like I 'm not good enough for them. Interesting . , you  feel ,0.17108464241027832,0.3641517236828804
22,Leolani,I know,Interesting . ,'s what I thought too So ... it   has come to this .  That 's what I thought too but I was wrong. There is no escape from destiny .  I felt so bad about it. May I ask you why? .  I do n't know Good to know .  I do n't know I guess I just feel like I 'm not good enough for them. Interesting .  I know, right .   ,0.23070884744326273,0.34012171626091003
23,BLENDERBOT,Interesting . ,I know right?,ht too So ... it   has come to this .  That 's what I thought too but I was wrong. There is no escape from destiny .  I felt so bad about it. May I ask you why? .  I do n't know Good to know .  I do n't know I guess I just feel like I 'm not good enough for them. Interesting .  I know Interesting . , i  know . ,0.6109289129575094,0.7069740891456604
24,Leolani,I know right?,That's just what he/she/they would've said . ,it   has come to this .  That 's what I thought too but I was wrong. There is no escape from destiny .  I felt so bad about it. May I ask you why? .  I do n't know Good to know .  I do n't know I guess I just feel like I 'm not good enough for them. Interesting .  I know Interesting .  I know right?,s  probably  what  i  always  thought .   ,0.31775292847305536,0.6592404320836067
